mmsi,latitude_deg,longitude_deg,utc_s,ground_ms,azimuth_deg,valid,datetime,speed_knots
ship_100,73.73947143554688,148.01283264160156,1738962250,7679,331.91082763671875,True,2025-02-07 21:04:10,14.93
ship_100,81.07361602783203,112.09456634521484,1738963892,7674,304.2723693847656,True,2025-02-07 21:31:32,14.92
ship_100,79.80462646484375,31.98796272277832,1738964106,7674,226.64031982421875,True,2025-02-07 21:35:06,14.92
ship_100,-17.727304458618164,-147.4502716064453,1739040017,7697,348.7416687011719,True,2025-02-08 18:40:17,14.96
ship_100,81.15837860107422,71.78038787841797,1739043387,7674,236.48974609375,True,2025-02-08 19:36:27,14.92
ship_100,81.07025146484375,147.60389709472656,1739128185,7674,304.3314819335937,True,2025-02-09 19:09:45,14.92
ship_100,79.8472900390625,67.67235565185547,1739128399,7674,226.86798095703125,True,2025-02-09 19:13:19,14.92
ship_100,82.6070785522461,125.5002212524414,1739213228,7674,277.1147155761719,True,2025-02-10 18:47:08,14.92
ship_100,77.05461883544922,61.45783615112305,1739213442,7676,215.4464569091797,True,2025-02-10 18:50:42,14.92
ship_100,78.58444213867188,27.76522254943848,1739592648,7675,319.276611328125,True,2025-02-15 04:10:48,14.92
ship_101,73.79573059082031,147.90528869628906,1738962251,7679,331.8154296875,True,2025-02-07 21:04:11,14.93
ship_101,81.10930633544922,111.75436401367188,1738963893,7674,303.9444885253906,True,2025-02-07 21:31:33,14.92
ship_101,79.76083374023438,31.727649688720703,1738964107,7674,226.39236450195312,True,2025-02-07 21:35:07,14.92
ship_101,-17.663982391357422,-147.4634246826172,1739040018,7697,348.74322509765625,True,2025-02-08 18:40:18,14.96
ship_101,81.12309265136719,71.43653106689453,1739043388,7674,236.15826416015625,True,2025-02-08 19:36:28,14.92
ship_101,81.10599517822266,147.26405334472656,1739128186,7674,304.0039978027344,True,2025-02-09 19:09:46,14.92
ship_101,79.80368041992188,67.40995788574219,1739128400,7674,226.61761474609372,True,2025-02-09 19:13:20,14.92
ship_101,76.99681091308594,-177.4444580078125,1739211319,7680,324.716552734375,True,2025-02-10 18:15:19,14.93
ship_101,82.61469268798828,125.00900268554688,1739213229,7674,276.6357116699219,True,2025-02-10 18:47:09,14.92
ship_101,77.05461883544922,61.45783615112305,1739213443,7676,215.4464569091797,True,2025-02-10 18:50:43,14.92
ship_101,78.63262176513672,27.554567337036133,1739592649,7675,319.07818603515625,True,2025-02-15 04:10:49,14.92
ship_102,73.8519287109375,147.7970428466797,1738962252,7679,331.719482421875,True,2025-02-07 21:04:12,14.93
ship_102,81.14469909667969,111.41149139404295,1738963894,7674,303.6138610839844,True,2025-02-07 21:31:34,14.92
ship_102,-17.60066032409668,-147.47657775878906,1739040019,7697,348.7446594238281,True,2025-02-08 18:40:19,14.96
ship_102,81.14144134521484,146.92149353027344,1739128187,7674,303.673828125,True,2025-02-09 19:09:47,14.92
ship_102,79.75984954833984,67.14974212646484,1739128401,7674,226.36964416503903,True,2025-02-09 19:13:21,14.92
ship_102,77.04882049560547,-177.60874938964844,1739211320,7680,324.5646057128906,True,2025-02-10 18:15:20,14.93
ship_102,82.62178802490234,124.51681518554688,1739213230,7674,276.1558837890625,True,2025-02-10 18:47:10,14.92
ship_102,77.05461883544922,61.45783615112305,1739213444,7676,215.4464569091797,True,2025-02-10 18:50:44,14.92
ship_102,78.68065643310547,27.34217643737793,1739592650,7675,318.8779602050781,True,2025-02-15 04:10:50,14.92
ship_103,73.90807342529297,147.68807983398438,1738962253,7679,331.62274169921875,True,2025-02-07 21:04:13,14.93
ship_103,81.17977142333984,111.0659408569336,1738963895,7674,303.2808532714844,True,2025-02-07 21:31:35,14.92
ship_103,-17.537336349487305,-147.48971557617188,1739040020,7697,348.7461242675781,True,2025-02-08 18:40:20,14.96
ship_103,81.17657470703125,146.57627868652344,1739128188,7674,303.3409729003906,True,2025-02-09 19:09:48,14.92
ship_103,77.10073852539062,-177.77430725097656,1739211321,7680,324.4114074707031,True,2025-02-10 18:15:21,14.93
ship_103,82.62834930419922,124.0237274169922,1739213231,7674,275.6751708984375,True,2025-02-10 18:47:11,14.92
ship_103,77.05461883544922,61.45783615112305,1739213445,7676,215.4464569091797,True,2025-02-10 18:50:45,14.92
ship_103,78.72855377197266,27.12803649902344,1739592651,7675,318.67626953125,True,2025-02-15 04:10:51,14.92
ship_104,73.96417999267578,147.5784149169922,1738962254,7679,331.52545166015625,True,2025-02-07 21:04:14,14.93
ship_104,81.21453857421875,110.71768188476562,1738963896,7674,302.94482421875,True,2025-02-07 21:31:36,14.92
ship_104,-17.474010467529297,-147.5028533935547,1739040021,7697,348.74755859375,True,2025-02-08 18:40:21,14.96
ship_104,81.21139526367188,146.2283477783203,1739128189,7674,303.0052490234375,True,2025-02-09 19:09:49,14.92
ship_104,77.15255737304688,-177.94113159179688,1739211322,7679,324.25689697265625,True,2025-02-10 18:15:22,14.93
ship_104,82.63438415527344,123.52982330322266,1739213232,7674,275.1936340332031,True,2025-02-10 18:47:12,14.92
ship_104,78.77629852294922,26.91213798522949,1739592652,7675,318.472900390625,True,2025-02-15 04:10:52,14.92
ship_105,74.02021789550781,147.46803283691406,1738962255,7679,331.42730712890625,True,2025-02-07 21:04:15,14.93
ship_105,81.2490005493164,110.3667449951172,1738963897,7674,302.6062927246094,True,2025-02-07 21:31:37,14.92
ship_105,76.00051879882812,172.82029724121094,1739041523,7679,327.35205078125,True,2025-02-08 19:05:23,14.93
ship_105,81.24591064453125,145.8777313232422,1739128190,7674,302.66729736328125,True,2025-02-09 19:09:50,14.92
ship_105,77.20426940917969,-178.10926818847656,1739211323,7679,324.1011047363281,True,2025-02-10 18:15:23,14.93
ship_105,78.82388305664062,26.6944522857666,1739592653,7675,318.267578125,True,2025-02-15 04:10:53,14.92
ship_106,74.07621765136719,147.35691833496094,1738962256,7679,331.3285522460937,True,2025-02-07 21:04:16,14.93
ship_106,76.0541763305664,172.67762756347656,1739041524,7679,327.2218933105469,True,2025-02-08 19:05:24,14.93
